Văn bản,tình trạng,loại bản ghi,Sơ cứu tại nhà (dành cho mèo),Giống loài,Sơ cứu tại nhà,,,,,,,,,,
Chụp cản quang bằng bari để đánh giá khả năng vận động và loại trừ tình trạng tắc nghẽn một phần.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Đánh giá cảm giác đau sâu ở các chi bị liệt.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Thực hiện lịch trình lật người thường xuyên và lót đệm để ngăn ngừa loét do tì đè ở động vật nằm.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Loại trừ các nguyên nhân gây nôn ngoài đường tiêu hóa (bệnh thận, viêm tụy, DKA).",Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Ngưng ăn 8–12h, cho uống nước ít nhưng thường xuyên, theo dõi nôn–mệt, rồi cho ăn loãng dễ tiêu nếu đỡ, và đi thú y ngay nếu nôn nhiều, có máu hoặc bỏ ăn >24h.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Kỹ thuật Baermann được sử dụng để thu hồi ấu trùng giun phổi từ phân.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Nhấn mạnh nhu cầu phải điều trị đồng thời tất cả chó, mèo và chồn trong hộ gia đình để diệt ký sinh trùng ngoài da.",Ký sinh trùng,Ghi chú lâm sàng," Tắm thuốc hoặc nhỏ gáy chuyên dụng, vệ sinh môi trường sạch sẽ và điều trị đồng thời tất cả chó, mèo, chồn trong nhà để tiêu diệt ký sinh trùng triệt để.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con chồn sương của tôi gãi tai cho đến khi chảy máu.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Ngăn mèo gãi thêm (có thể dùng vòng cổ Alizabethan collar), làm sạch nhẹ vùng tai bằng nước muối sinh lý, không bôi thuốc người, và đưa đến bác sĩ để kiểm tra viêm tai hoặc ký sinh trùng tai.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chọc hút kim nhỏ (FNA) được thực hiện trên nốt sần trên da; chờ kết quả tế bào học.,Kích ứng da,Ghi chú lâm sàng,"Giữ vùng chọc sạch, tránh mèo liếm hoặc cào, theo dõi sưng đỏ và chờ kết quả tế bào học để quyết định hướng điều trị tiếp theo.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo có vẻ đau đớn khi há miệng to để ngáp.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Cần kiểm tra nhẹ nhàng xem có dị vật, sưng, viêm hoặc gãy răng, không cố mở miệng, tạm cho ăn mềm và đưa đến bác sĩ để kiểm tra răng miệng hoặc khớp hàm.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Loại trừ bệnh lý nội tiết (suy giáp, hội chứng Cushing) gây ra các vấn đề mãn tính về da/tai.",Nhiễm trùng tai,Ghi chú lâm sàng,"Cần loại trừ bệnh nội tiết như suy giáp hoặc Cushing bằng xét nghiệm máu, đồng thời giữ da tai sạch, tránh gãi và đưa mèo đến bác sĩ để điều trị theo nguyên nhân.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Sử dụng imidacloprid/moxidectin (Advantage Multi) để kiểm soát giun tim/bọ chét/ghẻ/ký sinh trùng đường ruột.,Ký sinh trùng,Ghi chú lâm sàng,"Nhỏ thuốc imidacloprid/moxidectin (Advantage Multi) đúng liều lên gáy mèo khô sạch, tránh liếm và lặp lại theo hướng dẫn bác sĩ.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Khuyên chủ nuôi theo dõi các dấu hiệu xấu đi (đau nhiều hơn, suy giảm thần kinh).",Nhiễm trùng tai,Ghi chú lâm sàng,"Cần theo dõi sát mèo nếu có dấu hiệu đau tăng, yếu liệt hoặc thay đổi hành vi, và đưa đến bác sĩ ngay khi triệu chứng thần kinh hoặc đau đớn tiến triển nặng hơn.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Hãy cân nhắc chuyển đến bác sĩ thú y da liễu nếu tình trạng không cải thiện.,Kích ứng da,Ghi chú lâm sàng,"Nếu tình trạng da của mèo không cải thiện sau khi chăm sóc và điều trị cơ bản, cần đưa mèo đến bác sĩ thú y chuyên khoa da liễu để được chẩn đoán và điều trị chuyên sâu.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi đột nhiên bị chướng bụng nghiêm trọng.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn uống hay xoa bóp bụng, giữ yên tĩnh và đưa đến bác sĩ thú y ngay vì có thể là xoắn dạ dày nguy hiểm tính mạng.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Đo chu vi đùi ở cả hai bên để đánh giá tình trạng teo cơ.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Để đánh giá teo cơ ở mèo, dùng thước mềm đo chu vi đùi cả hai bên tại cùng vị trí, ghi lại kết quả để so sánh theo thời gian và báo cho bác sĩ khi có chênh lệch rõ rệt.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Mèo già được chẩn đoán mắc bệnh cường giáp với biểu hiện sụt cân và nôn mửa.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Cần cho ăn thức ăn ít i-ốt, chia bữa nhỏ, đảm bảo uống đủ nước và đưa khám định kỳ để điều chỉnh thuốc theo chỉ định bác sĩ.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Chuột lang đang gãi đến trầy da.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cần ngăn gãi thêm, làm sạch vùng da bằng nước muối sinh lý, không bôi thuốc người, và đưa đến bác sĩ để kiểm tra dị ứng hoặc ký sinh trùng da.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
